gvkey,datadate,IBES_covered
001161,2010-12-31,TRUE
001161,2011-12-31,TRUE
001161,2012-12-31,TRUE
001161,2013-12-31,TRUE
001161,2014-12-31,TRUE
001161,2015-12-31,TRUE
001161,2016-12-31,TRUE
001161,2017-12-31,TRUE
001161,2018-12-31,TRUE
001161,2019-12-31,TRUE
001171,1990-03-31,TRUE
001171,1991-03-31,TRUE
001177,1997-12-31,TRUE
001177,1998-12-31,TRUE
001177,2002-12-31,TRUE
001177,2003-12-31,TRUE
001177,2004-12-31,TRUE
001177,2005-12-31,TRUE
001177,2006-12-31,TRUE
001177,2007-12-31,TRUE
001177,2008-12-31,TRUE
001177,2009-12-31,TRUE
001177,2010-12-31,TRUE
001177,2011-12-31,TRUE
001177,2012-12-31,TRUE
001177,2013-12-31,TRUE
001177,2014-12-31,TRUE
001177,2015-12-31,TRUE
001177,2016-12-31,TRUE
001178,1990-12-31,TRUE
001181,1990-12-31,TRUE
001181,1991-12-31,TRUE
001194,1984-12-31,TRUE
001194,1985-12-31,TRUE
001194,1986-12-31,TRUE
001194,1987-12-31,TRUE
001194,1988-12-31,TRUE
001194,1989-12-31,TRUE
001194,1990-12-31,TRUE
001194,1991-12-31,TRUE
001194,1992-12-31,TRUE
001194,1993-12-31,TRUE
001194,1994-12-31,TRUE
001194,1995-12-31,TRUE
001194,1996-12-31,TRUE
001197,1984-10-31,TRUE
001197,1985-10-31,TRUE
001197,1986-10-31,TRUE
001197,1991-10-31,TRUE
001197,1992-10-31,TRUE
001203,1985-12-31,TRUE
001203,1986-12-31,TRUE
001203,1987-12-31,TRUE
001203,1988-12-31,TRUE
001203,1989-12-31,TRUE
001203,1990-12-31,TRUE
001203,1991-12-31,TRUE
001203,1992-12-31,TRUE
001203,1993-12-31,TRUE
001203,1994-12-31,TRUE
001203,1995-12-31,TRUE
001203,1996-12-31,TRUE
001203,1997-12-31,TRUE
001209,1984-09-30,TRUE
001209,1985-09-30,TRUE
001209,1986-09-30,TRUE
001209,1987-09-30,TRUE
001209,1988-09-30,TRUE
001209,1989-09-30,TRUE
001209,1990-09-30,TRUE
001209,1991-09-30,TRUE
001209,1992-09-30,TRUE
001209,1993-09-30,TRUE
001209,1994-09-30,TRUE
001209,1995-09-30,TRUE
001209,1996-09-30,TRUE
001209,1997-09-30,TRUE
001209,1998-09-30,TRUE
001209,1999-09-30,TRUE
001209,2000-09-30,TRUE
001209,2001-09-30,TRUE
001209,2002-09-30,TRUE
001209,2003-09-30,TRUE
001209,2004-09-30,TRUE
001209,2005-09-30,TRUE
001209,2006-09-30,TRUE
001209,2007-09-30,TRUE
001209,2008-09-30,TRUE
001209,2009-09-30,TRUE
001209,2010-09-30,TRUE
001209,2011-09-30,TRUE
001209,2012-09-30,TRUE
001209,2013-09-30,TRUE
001209,2014-09-30,TRUE
001209,2015-09-30,TRUE
001209,2016-09-30,TRUE
001209,2017-09-30,TRUE
001209,2018-09-30,TRUE
001209,2019-09-30,TRUE
001209,2020-09-30,TRUE
001212,1989-12-31,TRUE
001230,1984-12-31,TRUE
001230,1985-12-31,TRUE
001230,1986-12-31,TRUE
001230,1987-12-31,TRUE
001230,1988-12-31,TRUE
001230,1989-12-31,TRUE
001230,1990-12-31,TRUE
001230,1991-12-31,TRUE
001230,1992-12-31,TRUE
001230,1993-12-31,TRUE
001230,1994-12-31,TRUE
001230,1995-12-31,TRUE
001230,1996-12-31,TRUE
001230,1997-12-31,TRUE
001230,1998-12-31,TRUE
001230,1999-12-31,TRUE
001230,2000-12-31,TRUE
001230,2001-12-31,TRUE
001230,2002-12-31,TRUE
001230,2003-12-31,TRUE
001230,2004-12-31,TRUE
001230,2005-12-31,TRUE
001230,2006-12-31,TRUE
001230,2007-12-31,TRUE
001230,2008-12-31,TRUE
001230,2009-12-31,TRUE
001230,2010-12-31,TRUE
001230,2011-12-31,TRUE
001230,2012-12-31,TRUE
001230,2013-12-31,TRUE
001230,2014-12-31,TRUE
001230,2015-12-31,TRUE
001230,2016-12-31,TRUE
001230,2017-12-31,TRUE
